FECHA,TotalA,TotalB,Total,<=30A,<=30B,<=30,31-40A,31-40B,31-40,41-50A,41-50B,41-50,51-60A,51-60B,51-60,61-70A,61-70B,61-70,71-80A,71-80B,71-80,>=81A,>=81B,>=81
2021-02-20,0.01748770827331884,0.007602955606724571,0.025090663880043412,0.006620302371498766,0.0034149449167555196,0.010035247288254286,0.035711808565978845,0.01798378706433154,0.053695595630310386,0.031898494567229076,0.015497102053629579,0.047395596620858654,0.03155314520329687,0.013199742623402887,0.044752887826699755,0.015633561643835617,0.00018835616438356165,0.015821917808219177,0.0035396536879364776,1.3666616555739295e-05,0.003553320304492217,0.000638643358448776,0.0,0.000638643358448776
2021-02-21,0.017758220549439045,0.007603280741671831,0.025361501291110877,0.0067034719992814145,0.0034149449167555196,0.010118416916036934,0.03631870990116178,0.017985954569100054,0.05430466447026183,0.03239280878239398,0.015497102053629579,0.04788991083602356,0.032055642369090295,0.013199742623402887,0.04525538499249318,0.01584931506849315,0.00018835616438356165,0.01603767123287671,0.0035943201541594346,1.3666616555739295e-05,0.003607986770715174,0.0006522315150115159,0.0,0.0006522315150115159
2021-02-22,0.020782950963797526,0.007647824229446432,0.028430775193243957,0.007215796906422525,0.003434905627423355,0.01065070253384588,0.03883735044217097,0.018094329807525577,0.05693168024969655,0.03455748335496446,0.015593153630983896,0.050150636985948356,0.03442105585684959,0.01326715077978981,0.0476882066366394,0.01780821917808219,0.00018835616438356165,0.017996575342465754,0.007621416499250614,1.3666616555739295e-05,0.007635083115806353,0.03036273583944234,0.0,0.03036273583944234
2021-02-23,0.0239559429141065,0.008180720408005342,0.03213666332211184,0.007770538323732786,0.003528887306817747,0.011299425630550534,0.04164210161262355,0.018627535980579157,0.0602696375932027,0.03723521391389093,0.016253801065469694,0.05348901497936062,0.036982565799552655,0.014269081104268161,0.051251646903820815,0.01961986301369863,0.0022431506849315067,0.021863013698630137,0.011311402969300223,0.0003097766419300907,0.011621179611230315,0.06080020653997975,4.0764469688219746e-05,0.060840971009667975
2021-02-24,0.027159172414510643,0.00876888952759843,0.035928061942109075,0.00824876368348301,0.00364865157082476,0.01189741525430777,0.04425827986821571,0.019485867868909313,0.06374414773712501,0.039671644168732166,0.017118265261658553,0.056789909430390716,0.039176394889236146,0.015372123663326898,0.05454851855256304,0.021023972602739725,0.0038835616438356165,0.024907534246575342,0.015598165028950449,0.0005648868176372242,0.016163051846587673,0.09451921705041885,7.473486109506954e-05,0.09459395191151393
2021-02-25,0.030319158966929223,0.009363561346136714,0.03968272031306594,0.008736969398567154,0.0037958618120000464,0.0125328312105672,0.04692647823825213,0.020309519680943296,0.06723599791919542,0.04197922474663468,0.018041297492819557,0.06002052223945424,0.041541808376995434,0.016554830407206546,0.05809663878420198,0.02245205479452055,0.005318493150684931,0.02777054794520548,0.019402039970297887,0.0008609968430115756,0.020263036813309463,0.1277558480028807,0.0001290874873460292,0.12788493549022673
2021-02-26,0.03334486478612948,0.010181275738495263,0.043526140524624744,0.009185253692315626,0.004017093021901889,0.013202346714217515,0.04920235824518814,0.021610022542049592,0.07081238078723773,0.04388151452252995,0.019238428127650205,0.06311994265018016,0.04361920519655606,0.018285994423507063,0.06190519962006312,0.023808219178082193,0.006934931506849315,0.030743150684931508,0.023105693056903236,0.001289217495091407,0.024394910551994643,0.16184853281879513,0.0001766460353156189,0.16202517885411075
2021-02-27,0.03381468478491998,0.010218991392377407,0.044033676177297386,0.009268423320098274,0.004029568466069287,0.01329799178616756,0.049622854170279174,0.02168155019941044,0.07130440436968961,0.04430788981712717,0.019299338884021234,0.0636072287011484,0.04405123019885406,0.018368722615436466,0.06241995281429053,0.02427739726027397,0.006986301369863014,0.031263698630136984,0.02393480112795142,0.001289217495091407,0.025224018623042826,0.16530671866401245,0.0001766460353156189,0.16548336469932806
2021-02-28,0.03391840283309588,0.010264510284993787,0.04418291311808966,0.009280067067987844,0.004043707302792337,0.013323774370780181,0.049677041789491935,0.021811600485521068,0.071488642275013,0.044336002473913796,0.019376648690184465,0.06371265116409826,0.044078806262830526,0.018417746729172412,0.06249655299200294,0.024458904109589043,0.007030821917808219,0.03148972602739726,0.024167133609398986,0.00129377303394332,0.02546090664334231,0.1663598007976248,0.0001766460353156189,0.16653644683294042
2021-03-01,0.03654289212737747,0.010624109536663193,0.04716700166404066,0.009448901412386619,0.004146005944964994,0.013594907357351613,0.05068926651638633,0.022472689439916767,0.0731619559563031,0.04515126952072605,0.01997638536829923,0.06512765488902529,0.04507767258020039,0.01907344425039066,0.06415111683059105,0.025342465753424658,0.007667808219178082,0.03301027397260274,0.028267118576120777,0.0013939948886854082,0.029661113464806186,0.20420281682485544,0.0001766460353156189,0.20437946286017108
2021-03-02,0.03895409289625659,0.01102207471210926,0.04997616760836585,0.00963520137861975,0.004280740741972883,0.013915942120592634,0.05157360846193862,0.023101265822784812,0.07467487428472343,0.04587282771158288,0.0205925210962062,0.06646534880778908,0.04573643410852713,0.019900726169684715,0.06563716027821184,0.02621917808219178,0.008407534246575343,0.03462671232876712,0.03225777061039665,0.001475994588019844,0.0337337651984165,0.23904964433000198,0.0002106164267224687,0.23926026075672444
